# Stream A2 IC results — 2026-05-28
# Source: atlas.weinstein_a2_ic_results (Supabase, project nanvgbhootvvthjujkvs)
# Universe: nifty 500 stocks tagged Large/Mid/Small in atlas_universe_stocks (STATIC_2026, post-2026-05 snapshot)
# Window: 2018-01-01 to 2026-05-28 (8 yrs); excludes Micro per Q5 lock
# cap_tier source: STATIC (atlas_universe_stocks.tier) — PIT history insufficient (3 days); see weinstein-a2-cap-tier-decision.md
# Base rule: Stage 1 -> Stage 2 (UP) or Stage 3 -> Stage 4 (DOWN) crossover with persist_4w >= 0.6 (relaxed from 0.8)
# Confluences (each event flagged pass/fail):
#   L1: 5d avg vol >= 1.5x 60d avg vol      (pass rate 7-12%)
#   L2: clears prior 13W close-high/low      (pass rate 7-11%)
#   L3: RS_3m trend (improving for UP)       (pass rate 40-49%)
#   L4: stage1/3 persist 12W >= 0.5          (pass rate 33-47%; relaxed from 0.7 in plan)
#   L6: liquidity floor (5cr/2cr/50L)        (pass rate 94-99% — too loose)
#   L5 sector confluence: deferred (no sector RS data wired)
# Subsets: S01..S12 (12 combinations per cell)
# Forward return: excess vs NIFTY 500 over 130 calendar days
# IC: Spearman (CORR between indicator and percent_rank(forward_excess_6m) within partition)
# Signed useful IC: ic_spearman for UP, -ic_spearman for DOWN (higher = better)
# Hit rate: fraction of pass events with forward_excess_6m in expected direction (only among passers)
cap_tier,ma_lookback_weeks,event_type,subset_id,n_all,n_pass,events_per_year,hit_rate,mean_excess_pass,ic_spearman
Large,20,DOWN,S12_+L1+L2+L3+L4+L6,134,0,0.0,,,
Large,20,UP,S01_base,191,191,23.9,0.6440,0.076692,
Large,20,UP,S02_+L1,191,15,1.9,0.5333,0.166572,-0.030004
Large,20,UP,S03_+L2,191,7,0.9,0.8571,0.226238,0.139481
Large,20,UP,S04_+L3,191,65,8.1,0.5846,0.088722,-0.040683
Large,20,UP,S05_+L4,191,89,11.1,0.6517,0.071529,0.035026
Large,20,UP,S06_+L6,191,184,23.0,0.6359,0.073263,-0.098041
Large,20,UP,S07_+L1+L2,191,2,0.3,0.5000,0.132848,0.022389
Large,20,UP,S08_+L1+L3,191,4,0.5,0.5000,0.556553,0.057694
Large,20,UP,S09_+L2+L3,191,4,0.5,0.7500,0.122481,0.047747
Large,20,UP,S10_+L1+L2+L3,191,2,0.3,0.5000,0.132848,0.022389
Large,20,UP,S11_+L1+L2+L3+L4,191,0,0.0,,,
Large,20,UP,S12_+L1+L2+L3+L4+L6,191,0,0.0,,,
Large,30,DOWN,S01_base,117,117,14.6,0.5214,-0.029003,
Large,30,DOWN,S02_+L1,117,8,1.0,0.5000,-0.111881,-0.068182
Large,30,DOWN,S03_+L2,117,14,1.8,0.6429,-0.078770,-0.034308
Large,30,DOWN,S04_+L3,117,54,6.8,0.4074,-0.002043,0.195440
Large,30,DOWN,S05_+L4,117,48,6.0,0.5417,-0.017741,0.086434
Large,30,DOWN,S06_+L6,117,116,14.5,0.5172,-0.026824,0.140204
Large,30,DOWN,S07_+L1+L2,117,1,0.1,1.0000,-0.573727,-0.156699
Large,30,DOWN,S08_+L1+L3,117,3,0.4,0.3333,-0.156975,-0.022415
Large,30,DOWN,S09_+L2+L3,117,10,1.3,0.6000,-0.036749,0.027155
Large,30,DOWN,S10_+L1+L2+L3,117,1,0.1,1.0000,-0.573727,-0.156699
Large,30,DOWN,S11_+L1+L2+L3+L4,117,1,0.1,1.0000,-0.573727,-0.156699
Large,30,DOWN,S12_+L1+L2+L3+L4+L6,117,1,0.1,1.0000,-0.573727,-0.156699
Large,30,UP,S01_base,145,145,18.1,0.5586,0.069927,
Large,30,UP,S02_+L1,145,17,2.1,0.6471,0.102699,0.123430
